certificado,producto,fec_nac,fec_ini,fec_fin,t_poliza,vigencia,moneda,beneficio,monto_prima,monto_gasto,dotal,sexo
A4124,producto001,7/12/1978,4/25/2020,4/25/2025,3,4,PEN,8693.64452,138.0907,13.80907,50,F
A4125,producto001,11/2/1992,2/27/2020,3/4/2025,3,5,PEN,42724.50776,809.9322,80.99322,50,F
A4126,producto001,1/22/1985,2/29/2020,4/4/2023,3,3,PEN,47926.43768,630.81238,63.081238,50,F
A4127,producto001,3/15/1995,2/28/2020,3/4/2023,3,3,PEN,37104.55232,487.57236,48.757236,50,F
A4128,producto001,7/14/1967,2/28/2020,4/4/2023,3,3,PEN,102238.0115,1342.26642,134.226642,50,F
A4129,producto001,7/15/1976,2/29/2020,4/4/2025,3,5,PEN,41222.3746,770.21626,77.021626,50,F
A4130,producto001,11/17/1979,2/21/2020,3/4/2025,3,5,PEN,45708.51802,861.322,86.1322,50,F
A4131,producto001,5/5/1986,2/21/2020,4/4/2025,3,5,PEN,45204.02942,833.06278,83.306278,50,F
A4132,producto001,4/6/1986,2/21/2020,3/4/2025,3,5,PEN,44716.3123,842.193,84.2193,50,F
A4133,producto001,8/20/1973,2/27/2020,4/4/2023,3,3,PEN,42412.68438,556.42642,55.642642,50,F
A4134,producto001,5/24/1991,2/20/2020,4/4/2025,3,5,PEN,43686.0864,803.0044,80.30044,50,F
A4135,producto001,8/9/1981,2/20/2020,2/25/2023,3,3,PEN,29989.4122,394.28488,39.428488,50,F
A4136,producto001,6/23/1985,2/24/2020,3/25/2023,3,3,PEN,14254.18632,187.73304,18.773304,50,F
A4137,producto001,4/13/1983,2/28/2020,3/4/2025,3,5,PEN,8695.69184,138.0907,13.80907,50,F
A4138,producto001,1/31/1990,2/20/2020,3/25/2023,3,3,PEN,10064.36662,132.27962,13.227962,50,F
A4139,producto001,5/24/1991,2/21/2020,3/25/2025,3,5,PEN,40467.06862,756.8363,75.68363,50,F
A4140,producto001,4/10/1984,2/29/2020,3/4/2024,3,4,PEN,15235.53504,429.61666,42.961666,50,F
A4141,producto001,5/14/1992,2/21/2020,2/26/2024,3,4,PEN,43232.04666,685.79016,68.579016,50,F
A4142,producto001,11/29/1976,3/2/2020,4/4/2023,3,3,PEN,49122.48616,646.69462,64.669462,50,F
A4143,producto001,10/9/1987,2/27/2020,3/4/2025,3,5,PEN,8696.72584,138.0907,13.80907,50,F
A4144,producto001,5/5/1965,2/26/2020,4/4/2023,3,3,PEN,7914.73232,103.92734,10.392734,50,F
A4145,producto001,8/16/1982,2/29/2020,3/4/2025,3,5,PEN,8694.66818,138.0907,13.80907,50,F
A4146,producto001,9/14/1997,2/28/2020,3/4/2025,3,5,PEN,8695.69184,138.0907,13.80907,50,F
A4147,producto001,11/1/1964,2/21/2020,3/25/2023,3,3,PEN,63515.40426,835.46166,83.546166,50,F
A4148,producto001,6/12/1980,2/29/2020,4/4/2023,3,3,PEN,38287.74818,503.48562,50.348562,50,F
A4149,producto001,3/11/1994,2/27/2020,3/4/2023,3,3,PEN,30169.95894,395.99098,39.599098,50,F
A4150,producto001,6/9/1966,2/28/2020,3/4/2023,3,3,PEN,11834.7504,155.62734,15.562734,50,F
A4151,producto001,6/7/1971,2/28/2020,4/4/2023,3,3,PEN,9322.89556,122.53934,12.253934,50,F
A4152,producto001,8/30/1961,2/26/2020,3/18/2024,3,4,PEN,104990.4264,1645.1457,164.51457,50,F
A4153,producto001,2/3/1990,2/21/2020,2/25/2025,3,5,PEN,8694.65784,138.0907,13.80907,50,F
A4154,producto001,3/25/1971,2/26/2020,4/4/2023,3,3,PEN,11984.08068,157.43684,15.743684,50,F
A4155,producto001,7/26/1999,2/28/2020,3/4/2024,3,4,PEN,112700.9334,1783.77408,178.377408,50,F
A4156,producto001,7/28/1958,3/6/2020,4/11/2025,3,5,PEN,29240.25852,546.06574,54.606574,50,F
A4157,producto001,2/18/1992,2/29/2020,3/4/2025,3,5,PEN,29193.15982,553.97584,55.397584,50,F
A4158,producto001,5/13/1991,2/28/2020,3/4/2025,3,5,PEN,8695.69184,138.0907,13.80907,50,F
A4159,producto001,12/1/1982,2/28/2020,3/4/2025,3,5,PEN,41533.38112,786.41904,78.641904,50,F
A4160,producto001,1/1/1990,2/28/2020,3/4/2025,3,5,PEN,8695.69184,138.0907,13.80907,50,F
A4161,producto001,1/1/1978,2/27/2020,4/4/2023,3,3,PEN,21514.05542,282.63356,28.263356,50,F
A4162,producto001,5/20/1966,2/21/2020,3/25/2023,3,3,PEN,25368.33178,333.69248,33.369248,50,F
A4163,producto001,5/24/1996,3/5/2020,4/11/2023,3,3,PEN,8796.62058,115.55984,11.555984,50,F
A4164,producto001,3/5/1981,2/28/2020,3/4/2023,3,3,PEN,38395.19112,504.89186,50.489186,50,F
A4165,producto001,1/18/1980,2/28/2020,3/4/2025,3,5,PEN,86302.41708,1637.34934,163.734934,50,F
A4166,producto001,10/18/1990,2/19/2020,2/25/2023,3,3,PEN,122954.2532,1613.61904,161.361904,50,F
A4167,producto001,8/30/1986,2/29/2020,4/4/2023,3,3,PEN,24316.74344,319.85756,31.985756,50,F
A4168,producto001,7/24/1992,2/27/2020,3/4/2025,3,5,PEN,41421.49198,783.85472,78.385472,50,F
A4169,producto001,3/28/1996,2/21/2020,3/25/2023,3,3,PEN,36713.85542,482.78494,48.278494,50,F
A4170,producto001,1/29/1979,2/21/2020,2/25/2025,3,5,PEN,8694.65784,138.0907,13.80907,50,F
A4171,producto001,5/17/1998,2/21/2020,3/25/2023,3,3,PEN,44954.1323,590.6208,59.06208,50,F
A4172,producto001,11/27/1985,2/28/2020,3/4/2025,3,5,PEN,8695.69184,138.0907,13.80907,50,F
A4173,producto001,7/28/1981,2/25/2020,4/4/2025,3,5,PEN,46206.44072,853.99094,85.399094,50,F
